name,online_order,book_table,ratings(out of 5),votes,location,dish_liked,cuisines,cost(2 People)
Tandoori Knight,Yes,No,3.0,290,Banashankari,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450
Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200
Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,"Pizza, Burgers","Fast Food, Pizza",250
Grazers,Yes,Yes,3.9,291,Jayanagar,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650
Shakes Theory,Yes,No,4.5,155,Jayanagar,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300
@Italy,Yes,No,4.1,305,Kumaraswamy Layout,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Friendly Staff,Ice Cream,150
Donne Biriyani House,Yes,No,3.9,441,Banashankari,Biryani,"South Indian, North Indian, Chinese, Biryani",400
Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200
Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,"Whole Meat Shawarma, Fries",Arabian,300
Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350
Gokul Veg,Yes,No,3.8,469,Basavanagudi,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750
Olive - Era,Yes,No,3.3,511,Kumaraswamy Layout,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550
Gama Gama,Yes,No,3.9,264,Banashankari,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200
Pizza Hut,Yes,No,3.8,693,Banashankari,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",750
Mangalore Pearl,Yes,No,3.8,242,Jayanagar,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani",650
Twiststick House,Yes,No,4.1,163,Basavanagudi,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",500
Cool Corner,Yes,No,4.2,191,Basavanagudi,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food",250
Pizza Mane,Yes,No,3.5,32,Banashankari,"French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food",150
Dal Tadkaa,Yes,No,2.5,247,Banashankari,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500
Chutney Chang,Yes,Yes,4.1,2339,Jayanagar,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","North Indian, Chinese, BBQ",1500
Mystique Palate,Yes,No,4.1,337,Jayanagar,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food",300
Thamboola,Yes,No,3.9,135,Banashankari,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800
Castle Rock,Yes,No,3.6,172,Uttarahalli,Biryani,"North Indian, Chinese",700
Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700
Toscano,Yes,Yes,4.3,1129,Jayanagar,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","Italian, Salad",1300
Stoned Monkey,Yes,No,4.3,860,Banashankari,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500
Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken","Andhra, Seafood, North Indian, Chinese",700
